state,NAME,MHI_20_MHI,MHI_20_MHI_WH,MHI_20_MHI_BL,MHI_20_MHI_NA,MHI_20_MHI_AS,MHI_20_MHI_2R,MHI_20_MHI_HS,MHI_15_MHI,MHI_15_MHI_WH,MHI_15_MHI_BL,MHI_15_MHI_NA,MHI_15_MHI_AS,MHI_15_MHI_2R,MHI_15_MHI_HS,pct_change
11,District of Columbia,90842,147488,48515,53244,107732,96305,80502,70848,119934,40677,61985,83064,79124,61087,28.220980126467932
24,Maryland,87063,97547,69964,77912,108839,88848,76092,74551,84120,59021,53949,93936,71257,62463,16.78314174189481
34,New Jersey,85245,96531,55453,59827,126232,73215,60352,72093,82102,46546,36941,104575,58575,48265,18.243102659065375
25,Massachusetts,84385,91759,54835,42228,102235,66229,48450,68563,74905,42959,38286,78996,50484,36171,23.07658649709027
15,Hawaii,83173,82735,71939,50833,89204,85236,73298,69515,69834,62115,44688,74800,67844,56637,19.647558080989715
09,Connecticut,79855,90941,50905,42035,101418,62767,48715,70331,79565,42917,43867,89755,53409,40059,13.541681477584563
06,California,78672,90496,54976,60182,101380,76733,62330,61818,72741,43087,45490,79260,59807,47393,27.263903717363874
33,New Hampshire,77923,79050,59261,41800,79154,65000,63535,66779,67262,50103,37026,79577,51173,49749,16.687880920648706
02,Alaska,77790,86128,64054,49963,73873,72478,67559,72515,80056,51944,45997,64466,58370,60540,7.274357029580086
53,Washington,77006,79746,56196,51261,102959,68991,59360,61062,63582,42200,40216,74914,53986,44073,26.111165700435624
51,Virginia,76398,82250,52929,67730,108033,78872,70786,65015,70415,44562,54031,94896,66235,60904,17.508267322925477
08,Colorado,75231,81200,53806,52028,83168,66395,57790,60629,66208,42150,40458,66237,50043,42774,24.08418413630441
49,Utah,74197,77436,44772,49403,75343,70447,57417,60727,63767,38900,36428,61124,49183,43192,22.181237340886263
27,Minnesota,73382,76798,40785,37795,82473,61836,57081,61492,64485,30314,33444,66780,45869,42227,19.335848565667078
36,New York,71117,81033,51060,44268,78925,64279,52643,59269,68221,41615,36913,63018,50751,40824,19.990214108555907
44,Rhode Island,70305,76742,47723,37809,82252,56898,43609,56852,63237,36209,25082,53441,38885,31121,23.663195665939632
10,Delaware,69110,75700,50870,48591,96191,60793,56430,60509,65434,47242,39663,88009,48161,45698,14.214414384636997
17,Illinois,68428,75587,41021,55222,94386,62567,59699,57574,64353,33730,41280,76810,48568,47082,18.85225970055928
41,Oregon,65667,67331,44138,48225,83125,57283,54797,51243,52841,32481,34531,64623,44016,40565,28.14823488086178
38,North Dakota,65315,68823,39280,38129,55179,56133,46367,57181,59896,29525,30833,44743,43729,43940,14.225004809289798
56,Wyoming,65304,66731,53354,50458,69917,61115,56981,58840,60950,38958,42326,38762,48732,43813,10.985723997280761
48,Texas,63826,77821,48293,57973,91879,58688,51401,53207,65714,39345,47841,75796,49450,41248,19.957900276279435
42,Pennsylvania,63627,67994,40370,41937,80088,57857,45590,53599,57559,32493,33066,65013,38923,34494,18.709304278064888
50,Vermont,63477,64412,37489,35000,57756,53217,49349,55176,55504,50417,40167,55179,39147,51231,15.044584602000871
55,Wisconsin,63293,66579,32857,45003,72870,53794,48448,53357,56470,27099,37492,57785,40881,37766,18.621736604381805
31,Nebraska,63015,66166,37163,44400,67853,48479,52259,52997,56275,29967,25739,50787,38997,39703,18.902956771137987
32,Nevada,62043,68864,42047,44985,70521,60691,53893,51847,57074,37566,42104,60329,48914,43108,19.665554419734992
19,Iowa,61836,63961,33662,41211,62106,49246,49686,53183,54717,28670,28342,56976,40563,40387,16.270236729782074
04,Arizona,61529,66973,49418,39969,81932,60831,52399,50255,55800,39483,31593,66274,46092,39020,22.433588697642026
13,Georgia,61224,70784,46964,40577,83654,61785,52784,49620,57966,36655,37373,65611,46768,38784,23.385731559854896
20,Kansas,61091,64470,39274,43540,70355,50953,49196,52205,55420,33677,40660,59365,41030,40117,17.02135810746097
46,South Dakota,59896,63078,47270,27648,59375,49433,47788,50957,53435,31758,25708,47699,41719,39920,17.542241497733382
23,Maine,59489,60207,41174,35688,57868,44825,55821,49331,49915,23453,28452,51657,38941,41535,20.591514463521925
26,Michigan,59234,63594,36561,45530,88990,52542,50802,49576,53303,29678,38034,74517,36354,39571,19.481200580926256
16,Idaho,58915,60629,45059,40498,55373,54937,50571,47583,49061,37928,35663,55525,37608,38085,23.815228127692663
18,Indiana,58235,61998,36131,50629,65224,45214,49162,49255,52006,30349,35439,54246,38200,39712,18.23165160897371
39,Ohio,58116,62843,34778,36855,78560,45797,47130,49429,53074,28003,32272,68818,35701,38361,17.57470310951061
12,Florida,57703,63474,43418,49775,73412,57003,52092,47507,52510,34664,39723,61880,43481,40851,21.462100322057804
29,Missouri,57290,60757,38456,40537,74716,48879,50974,48173,51135,31977,36376,60908,38596,38712,18.92553920245781
37,North Carolina,56642,64050,40767,39857,89314,51803,45983,46868,53157,32798,32544,68866,38883,34708,20.85431424426048
30,Montana,56539,58291,47177,35859,54830,45169,48568,47169,48906,31074,29150,51704,37076,36762,19.864741673556786
45,South Carolina,54864,64102,36271,42052,74108,53626,45778,45483,52996,30221,31769,55313,39679,36869,20.625288569355583
47,Tennessee,54833,59125,40020,52707,81886,48832,46503,45219,48747,32344,36748,66331,34959,35721,21.260974369181096
40,Oklahoma,53840,58090,36790,46426,62051,48839,46473,46879,50705,30560,39271,53308,41479,38205,14.8488662300817
21,Kentucky,52238,54099,37521,34003,67188,44391,47112,43740,45475,29358,30729,62948,37063,35672,19.42844078646548
01,Alabama,52035,60213,35239,49162,67083,48936,42568,43623,50760,29180,44856,55775,36360,33984,19.283405542947527
35,New Mexico,51243,60767,42963,36295,64462,51454,44648,44963,54650,38146,30841,58780,41748,37248,13.967039565865266
22,Louisiana,50800,61858,31479,48108,64478,51383,46489,45047,55479,27756,41029,54313,37570,42637,12.771105734011142
05,Arkansas,49475,53335,32844,41196,73765,44711,45266,41371,45346,26731,34888,59872,34814,34589,19.58860071064272
54,West Virginia,48037,48644,32803,22557,55372,42143,53829,41751,42224,29202,24278,57500,30835,40847,15.055926804148404
28,Mississippi,46511,58104,31389,34036,65594,44055,43456,39665,49333,26549,32240,52727,35270,37488,17.259548720534475
72,Puerto Rico,21058,31890,20038,25365,27315,22492,20970,19350,27066,19057,18966,14389,19594,19291,8.82687338501292
